Channel,old,new,old,new,old,new,old,new,old,new
0,0.009189609741871978,0.00877439297442418,0.10764454108236926,0.06924694244250075,0.09844415664749902,0.04878923892995144,11.264829508960256,7.042826479639534,0.05741838419145889,0.08331640787462488
1,0.009181535699579127,0.009016468138211432,0.12403137365151562,0.07391800397361373,0.12940134513435692,0.06310620457249991,15.423354998205287,7.059209486603959,0.10127380918898476,0.06417853888101634
2,0.009078681020299257,0.008974699580269987,0.10618855040249256,0.07024316230612719,0.1210756017618296,0.07325268835859544,9.452005207451178,5.860444251544588,0.04089316568586456,0.05749406462336998
3,0.0008741505522773584,0.0008041968992956041,0.14063788438932015,0.08337316555221314,0.1280399626028846,0.09211362817098204,0.09323470735386899,0.048475616794920996,0.016286632593428822,0.022382694209056017
4,0.0102728870789385,0.007632173753124873,3.3087537480136806,2.7782664553027865,0.08873185739628991,0.05916119671101996,0.1289783608653081,0.10543047394500975,0.031749944852242515,0.04405582315806919
5,0.00830226104642302,0.005803275824276938,1.3690347364752573,0.8384668498734429,0.08188277914317549,0.05643919900304453,109.36261950527536,50.97250625364534,0.28061549733247565,0.14136912626296783
6,0.009535803224472478,0.007424574619546522,1.938072536549046,1.2457215336834886,0.11824169868262342,0.058616997395904376,22.996793752352687,23.236401835526337,0.06935539218762843,0.11162752608362268
7,0.012877463480575673,0.007957716724490797,2.2956069424076033,1.4449554991060234,0.1230847618628274,0.07445932118384985,0.08190631382877098,0.04541239712605788,0.008250437344473472,0.010917026797111345
8,0.0075846919036215606,0.007335700311668703,0.0917422653584376,0.06018292635215442,0.10085642139620005,0.05332079885052097,2.2241790004792032,1.2591785741457207,0.018305851236094076,0.010031168705402079
9,0.0074789664652705895,0.007274935798916144,0.09388060909375712,0.061279168990375034,0.09119812576234912,0.05366066877388045,1.9916803991306553,1.2406767372603837,0.009347060452859527,0.005645562104345356
10,0.007419100278575514,0.007322214305556023,0.11333110299569164,0.08089648877393579,0.10071308530330292,0.061530866259072975,2.25528264888861,1.5337383800223774,0.012408481306026143,0.006347237776754828
11,0.007364725411474957,0.007228504345756497,0.09812962289733186,0.05842963745584884,0.09943082894686511,0.0640053738587423,2.450512108734094,1.6411373875146105,0.01723986378185974,0.008821211676146721
12,0.005266795583008398,0.005315908583739235,0.0888968210475225,0.04257730628147986,0.07454105104152886,0.049942143328835516,3.4676170787265406,1.363599788335365,0.3461884143551424,0.2347509815081171
13,0.006989084373030203,0.007141466503847638,2.5097075842111094,1.8982153950556748,1.8980725983977917,1.3956810602487189,0.120415578741281,0.0926696803793632,0.027483288596056817,0.33296270048675963
14,0.006251356472980387,0.006198453103884631,0.08578825357706273,0.0534864756139981,0.09876051744609562,0.056336480040322746,6.028376207857948,3.528290012563731,0.1278339498526724,0.15758676977536482
15,0.0065268113106465245,0.0065642743747557995,0.08516150123432281,0.04368463253084481,0.0994808682134729,0.08063431668814341,1.8555125237542847,1.026346515870649,0.24586719435685045,0.1339803216942149
16,0.0076093048836774375,0.007618070443000624,0.14338662583528938,0.09707496027983793,0.10732709388536614,0.04812373657109807,10.321320294190224,6.371499641140878,0.006271618867866676,0.002314766122353357
17,0.007741603034396926,0.007731635648889426,0.13251745285609365,0.08043175352251068,0.08978455952509364,0.06752440559655572,17.34818668300147,8.741811573953205,0.07513359666403498,0.019499328139604106
18,0.007571799073376349,0.007559417625084532,0.17475925900781533,0.11552349263262483,0.10491779747048745,0.07341649199959067,16.32867910342726,10.61883861263603,0.0038275491974740857,0.0013507273246973614
19,0.007573312586691714,0.007489243855937936,0.18381967596138063,0.11059788788726506,0.11077333779206919,0.07668453548849348,12.166788533079835,7.151362460712489,0.0030073933049217395,0.001106459963258402
20,0.005873952954562618,0.0059289624302023254,0.05567294400071574,0.04080810841973034,0.08313915792324533,0.03866034556861359,22.82277010592932,10.075281170912682,0.2279963524953155,0.07495922710902135
21,0.00757075356876037,0.007542588701269714,0.08675162263830442,0.057915895712039596,0.10567118227274296,0.06144781125512085,23.921085287200302,6.373364966411598,0.0023318786611507577,0.013675826432909245
22,0.007494545750723405,0.007437066442505676,0.10127294535639177,0.06234272034192353,0.12458598890066648,0.07923112049233959,24.28101951973372,12.522393334559151,0.003989868592008612,0.01649320491100012
23,0.005551969932836383,0.005606215808828477,0.09293673653599585,0.05162340592822729,0.07947529959161605,0.05151765844087837,26.764687950605953,16.859434190841196,0.29735863267418317,0.1087736505426649
