,0,digital,ccg,gate,sw,clear,5,12,13,14,1,7
0,DAC_VOLTAGE_GAIN,10014.846153846154,-41591.75961538462,-41570.59615384616,-43049.65384615384,55694.25,20024.53846153846,21969.46153846154,-233006.6923076923,-21476.73076923077,10014.846153846154,10014.846153846154
1,DAC_VOLTAGE_GAIN_DIFF,0.00035586480448122546,0.0002834555335059949,0.00036991604760864053,0.0003501840950237001,0.0005038889163819669,0.00033391821284041093,0.0005997867839025179,0.0006164456558506944,0.0010378340676807695,0.00035586480448122546,0.00035586480448122546
2,DAC_VOLTAGE_OFFSET,168.021978021978,641443.5769230769,640925.9326923077,-784.0769230769231,859.8461538461537,307.2307692307692,321.38461538461536,-4464.538461538462,-332.65384615384613,168.021978021978,168.021978021978
3,DAC_VOLTAGE_OFFSET_DIFF,44.6815294882137,304.1195897210027,259.49226549993733,122.79733869482901,117.14674962091593,48.87055719906154,83.51511927746374,991.2697463653229,105.2107563628257,44.6815294882137,44.6815294882137
4,ADC_U_LOAD_GAIN,4641.967032967033,2756.625,2755.865384615385,2555.692307692308,1480.3846153846155,4642.846153846154,2607.346153846154,432.03846153846155,2605.6153846153848,4641.967032967033,4641.967032967033
5,ADC_U_LOAD_GAIN_DIFF,0.0010478262925375623,0.0005352046419804576,0.0009693063280072121,0.0011901371851533555,0.0011330715763760212,0.0004729891288042877,0.0004629627775508611,0.0024428777234954584,0.0005113367010801752,0.0010478262925375623,0.0010478262925375623
6,ADC_U_LOAD_OFFSET,-800.0879120879122,-523.7980769230769,-532.3076923076924,-413.17307692307685,-570.3076923076923,-762.5384615384615,-573.6538461538462,565.1538461538462,-473.5,-800.0879120879122,-800.0879120879122
7,ADC_U_LOAD_OFFSET_DIFF,186.95340245378586,153.16659983166724,216.5709635397153,156.51391203264748,166.67247228547214,166.11076720745262,257.38342279828544,616.8400673100389,254.61422553768247,186.95340245378586,186.95340245378586
8,ADC_U_REGULATOR_GAIN,9992.71978021978,1888.4807692307693,3046.6538461538457,2554.826923076923,1480.0384615384617,4574.7692307692305,2592.423076923077,432.3076923076923,2590.423076923077,9992.71978021978,9992.71978021978
9,ADC_U_REGULATOR_GAIN_DIFF,0.0005530540264702831,0.0005781150060482992,0.0009896914457232851,0.0011959297122851275,0.0011848978056888332,0.0005599551320065482,0.0004302479118140142,0.003441117367582512,0.0008305365188904097,0.0005530540264702831,0.0005530540264702831
10,ADC_U_REGULATOR_OFFSET,-807.065934065934,-534.4326923076924,-555.4230769230769,-493.1538461538461,-620.6730769230769,-804.6538461538462,-565.4230769230769,82.53846153846153,-469.61538461538464,-807.065934065934,-807.065934065934
11,ADC_U_REGULATOR_OFFSET_DIFF,165.39903810646877,152.26878843417984,220.76474131055699,155.30793042996186,164.5793847677544,193.19319591213755,252.08578714961348,212.77077423101113,244.00426807791024,165.39903810646877,165.39903810646877
12,ADC_I_MON_GAIN,-9991.608974358976,-296317.90384615393,-294982.78846153844,-295112.1923076923,-294926.48076923075,-149858.34615384616,-296541.8461538461,-1189.764705882353,-296471.3461538461,-150117.88461538462,-9991.608974358976
13,ADC_I_MON_GAIN_DIFF,0.00442189216967784,0.002414853027802348,0.0018728627616287487,0.003016829357561871,0.0032716241751592507,0.00264120277400688,0.0018027922885866978,0.007951678843156965,0.002185418373940656,0.004001884385736709,0.00442189216967784
14,ADC_I_MON_OFFSET,-496.5705128205129,-315.89423076923083,-475.32692307692315,-292.09615384615387,-413.0,8526.153846153846,-685.8076923076923,4695.205882352941,121.65384615384616,3445.230769230769,-496.5705128205129
15,ADC_I_MON_OFFSET_DIFF,367.9473922852024,813.3530896408117,886.1884723386539,1201.7336716916584,1383.4977273340426,1892.7011770382903,706.6937112209857,2309.5043494146958,732.2130281817261,412.1168904096831,367.9473922852024
16,DAC_CURRENT_GAIN,-10040.369230769229,658.1442307692307,661.3173076923077,660.6730769230769,-672.1538461538463,-668.6538461538462,-670.6538461538462,96538.13432835821,667.5,-668.6538461538462,9885.923076923076
17,DAC_CURRENT_GAIN_DIFF,0.006375107137719409,0.004461890403200155,0.0046525137355656115,0.00522410805221226,0.005622851222951816,0.004941774313199493,0.004256617425936458,0.007845554358914606,0.004973067673252256,0.004636408980474348,0.006924139634260592
18,DAC_CURRENT_OFFSET,-91.23076923076924,-9.51923076923077,2.25,2.0,-16.076923076923073,63.0,1.5384615384615385,111821.94029850746,-12.423076923076923,59.69230769230769,244.0
19,DAC_CURRENT_OFFSET_DIFF,611.3999891605839,35.903980058256344,31.336495680571264,38.61247307442346,33.37251641801987,28.75225743645719,35.46203904202001,24938.10205281139,34.48541840894839,33.83303941730654,444.9860844842402
